model	subword_pooling	layer_pooling	dev_acc	dev_f1	test_acc	test_f1
XLM-RoBERTa	first	1	0.9849775981727136	0.7563996696944674	0.9693010217922056	0.5859015232022672
XLM-RoBERTa	first	1	0.984538346657296	0.7598684210526316	0.9686680531693644	0.5712275765036933
XLM-RoBERTa	first	10	0.9964859878766582	0.9636846767050486	0.992856496970793	0.91941982272361
XLM-RoBERTa	first	10	0.9965738381797418	0.9532215357458076	0.9928112849263044	0.9109780439121756
XLM-RoBERTa	first	10	0.9970130896951594	0.9585172109443956	0.9934894655936342	0.9170340681362724
XLM-RoBERTa	first	11	0.9958710357550734	0.9486725663716816	0.9933086174156796	0.9129392971246004
XLM-RoBERTa	first	11	0.9960467363612404	0.9496021220159152	0.9931277692377248	0.9152677857713828
XLM-RoBERTa	first	11	0.9956074848458228	0.940760389036251	0.9927660728818156	0.9136
XLM-RoBERTa	first	12	0.9956074848458228	0.9375549692172382	0.9921331042589746	0.8948829829432765
XLM-RoBERTa	first	12	0.9956074848458228	0.941696113074205	0.99195225608102	0.8995633187772927
XLM-RoBERTa	first	12	0.9954317842396556	0.9382716049382716	0.99195225608102	0.8917954815695602
XLM-RoBERTa	first	2	0.9920934727224808	0.8750000000000001	0.9819151822045392	0.7499999999999999
XLM-RoBERTa	first	2	0.9912149696916456	0.8496176720475785	0.9828646351388008	0.7560240963855421
XLM-RoBERTa	first	2	0.9915663709039796	0.8630136986301369	0.9821864544714712	0.7483044461190655
XLM-RoBERTa	first	3	0.9939383290872352	0.9125541125541126	0.987521475721132	0.8320373250388803
XLM-RoBERTa	first	3	0.9943775806026532	0.9194805194805196	0.9868885070982908	0.8198372723750484
XLM-RoBERTa	first	3	0.993235526662567	0.8990509059534081	0.9867076589203364	0.8213457076566124
XLM-RoBERTa	first	4	0.9951682333304048	0.9343832020997374	0.9910932272357356	0.8831683168316832
XLM-RoBERTa	first	4	0.995343933936572	0.939526730937774	0.9909575911022696	0.8793989719256623
XLM-RoBERTa	first	4	0.9955196345427392	0.9387040280210156	0.9907767429243152	0.8740623766285038
XLM-RoBERTa	first	5	0.9958710357550734	0.9387040280210156	0.9915001356361336	0.8944643568299481
XLM-RoBERTa	first	5	0.9955196345427392	0.939526730937774	0.9921783163034632	0.8974562798092209
XLM-RoBERTa	first	5	0.9957831854519898	0.9445910290237468	0.9917714079030654	0.8980891719745223
XLM-RoBERTa	first	6	0.996925239392076	0.9655781112091792	0.993760737860566	0.9197431781701444
XLM-RoBERTa	first	6	0.9968373890889924	0.9655781112091792	0.9936251017271	0.9104
XLM-RoBERTa	first	6	0.9968373890889924	0.9628975265017669	0.993896373994032	0.918506623845845
XLM-RoBERTa	first	7	0.9970130896951594	0.9620476610767874	0.9933086174156796	0.9093088294047144
XLM-RoBERTa	first	7	0.996925239392076	0.96113074204947	0.9934442535491456	0.9030714000797766
XLM-RoBERTa	first	7	0.9968373890889924	0.9585172109443956	0.9933990415046569	0.9101078705553336
XLM-RoBERTa	first	8	0.9968373890889924	0.9566755083996464	0.9929469210597704	0.9102564102564102
