model	subword_pooling	layer_pooling	dev_acc	test_acc
mBERT	first	4	0.9183744964091785	0.9194104134762634
mBERT	first	4	0.9163601331231388	0.914624808575804
mBERT	first	4	0.9162725521107024	0.9124234303215928
mBERT	first	5	0.9229287090558768	0.9232388973966308
mBERT	first	5	0.9232790331056226	0.9232388973966308
mBERT	first	5	0.9237169381678052	0.9225689127105666
mBERT	first	6	0.9375547381327728	0.9330972434915772
mBERT	first	6	0.9396566824312488	0.934915773353752
mBERT	first	6	0.93913119635663	0.9345329249617153
mBERT	first	7	0.9450867052023122	0.9341500765696784
mBERT	first	7	0.9439481520406376	0.9331929555895864
mBERT	first	7	0.94263443685409	0.9345329249617153
mBERT	first	8	0.9366789280084078	0.9297473200612556
mBERT	first	8	0.9352776318094236	0.9309915773353752
mBERT	first	8	0.9362410229462252	0.9306087289433383
mBERT	first	9	0.9345769837099316	0.9259188361408882
mBERT	first	9	0.9355403748467332	0.9265888208269524
mBERT	first	9	0.9364161849710982	0.9290773353751914
mBERT	first	10	0.931686810299527	0.9239088820826952
mBERT	first	10	0.9266946925906464	0.9216117917304748
mBERT	first	10	0.929584866001051	0.9232388973966308
mBERT	first	11	0.9266946925906464	0.9204632465543644
mBERT	first	11	0.9259940444911544	0.918166156202144
mBERT	first	11	0.9245927482921704	0.9196975497702908
mBERT	first	12	0.9067262217551236	0.8985451761102603
mBERT	first	12	0.9100543002277106	0.9052450229709036
mBERT	first	12	0.9095288141530916	0.9050535987748852
mBERT	last	0	0.8513750218952532	0.8306852986217458
mBERT	last	0	0.8533018041688561	0.8301110260336907
mBERT	last	0	0.8534769661937291	0.8338437978560491
mBERT	last	1	0.8787002977754422	0.868395865237366
mBERT	last	1	0.8804519180241723	0.8667687595712098
mBERT	last	1	0.8823787002977754	0.8689701378254211
mBERT	last	2	0.9124189875634964	0.9021822358346095
mBERT	last	2	0.9113680154142582	0.9025650842266464
mBERT	last	2	0.9117183394640042	0.9028522205206738
mBERT	last	3	0.9501664039236294	0.9401799387442572
mBERT	last	3	0.9510422140479944	0.9409456355283308
mBERT	last	3	0.9499036608863198	0.9402756508422664
mBERT	last	4	0.9583114380802242	0.9504211332312404
mBERT	last	4	0.9579611140304782	0.9500382848392036
mBERT	last	4	0.9585741811175336	0.9499425727411944
mBERT	last	5	0.9607637064284464	0.9526225114854516
mBERT	last	5	0.9616395165528112	0.9543453292496172
mBERT	last	5	0.9616395165528112	0.9525267993874426
mBERT	last	6	0.9629532317393588	0.9587480857580398
mBERT	last	6	0.9632159747766684	0.958269525267994
mBERT	last	6	0.9621650026274304	0.9579823889739664
mBERT	last	7	0.9607637064284464	0.9543453292496172
mBERT	last	7	0.9626904887020494	0.9562595712098008
mBERT	last	7	0.9630408127517954	0.9553981623277182
mBERT	last	8	0.9603258013662638	0.9524310872894334
mBERT	last	8	0.9605009633911368	0.9526225114854516
mBERT	last	8	0.9601506393413908	0.9519525267993876
mBERT	last	9	0.9597127342792082	0.9492725880551302
mBERT	last	9	0.9594499912418988	0.9494640122511484
mBERT	last	9	0.9568225608688036	0.9485068912710568
mBERT	last	10	0.9540199684708356	0.9461140888208268
mBERT	last	10	0.9538448064459624	0.946209800918836
mBERT	last	10	0.9540199684708356	0.9454441041347628
mBERT	last	11	0.9534944823962164	0.9419027565084228
mBERT	last	11	0.954282711508145	0.9442955589586524
mBERT	last	11	0.9522683482221056	0.9435298621745788
mBERT	last	12	0.9452618672271852	0.935968606431853
mBERT	last	12	0.9444736381152566	0.936542879019908
mBERT	last	12	0.944736381152566	0.9352986217457888
XLM-RoBERTa	first	0	0.800928358731827	0.7938361408882083
XLM-RoBERTa	first	0	0.8006656156945174	0.7945061255742726
XLM-RoBERTa	first	0	0.7997898055701524	0.7934532924961715
XLM-RoBERTa	first	1	0.8055701523909616	0.8010145482388974
XLM-RoBERTa	first	1	0.8044315992292871	0.800823124042879
XLM-RoBERTa	first	1	0.8054825713785251	0.8012059724349158
XLM-RoBERTa	first	2	0.8822035382729024	0.8792113323124043
XLM-RoBERTa	first	2	0.8830793483972674	0.8770099540581929
XLM-RoBERTa	first	2	0.8851812926957435	0.8777756508422665
XLM-RoBERTa	first	3	0.9196006305832896	0.918166156202144
XLM-RoBERTa	first	3	0.9190751445086706	0.9137633996937212
XLM-RoBERTa	first	3	0.918286915396742	0.9152947932618682
XLM-RoBERTa	first	4	0.940182168505868	0.9401799387442572
XLM-RoBERTa	first	4	0.9392187773690664	0.9411370597243492
XLM-RoBERTa	first	4	0.941583464704852	0.9423813169984686
XLM-RoBERTa	first	5	0.9462252583639869	0.94812404287902
XLM-RoBERTa	first	5	0.9453494482396216	0.9477411944869832
XLM-RoBERTa	first	5	0.9464004203888596	0.9479326186830016
XLM-RoBERTa	first	6	0.9522683482221056	0.9508039816232772
XLM-RoBERTa	first	6	0.9538448064459624	0.9508039816232772
XLM-RoBERTa	first	6	0.9538448064459624	0.9505168453292496
XLM-RoBERTa	first	7	0.954107549483272	0.9520482388973966
XLM-RoBERTa	first	7	0.9540199684708356	0.9518568147013784
XLM-RoBERTa	first	7	0.954282711508145	0.952239663093415
XLM-RoBERTa	first	8	0.9512173760728674	0.949176875957121
XLM-RoBERTa	first	8	0.9527938342967244	0.94812404287902
XLM-RoBERTa	first	8	0.9525310912594148	0.9489854517611026
XLM-RoBERTa	first	9	0.950954633035558	0.9530053598774884
XLM-RoBERTa	first	9	0.95165528113505	0.951186830015314
XLM-RoBERTa	first	9	0.9512173760728674	0.9514739663093414
XLM-RoBERTa	first	10	0.9450867052023122	0.9478369065849924
XLM-RoBERTa	first	10	0.9465755824137329	0.9492725880551302
XLM-RoBERTa	first	10	0.9455246102644946	0.9479326186830016
XLM-RoBERTa	first	11	0.941758626729725	0.944104134762634
XLM-RoBERTa	first	11	0.943335084953582	0.943625574272588
XLM-RoBERTa	first	11	0.9406200735680504	0.9433384379785604
XLM-RoBERTa	first	12	0.9298476090383604	0.9347243491577336
XLM-RoBERTa	first	12	0.929409703976178	0.9338629402756508
XLM-RoBERTa	first	12	0.9302855141005428	0.9341500765696784
XLM-RoBERTa	last	0	0.8853564547206165	0.8671516079632465
XLM-RoBERTa	last	0	0.8858819407952356	0.8668644716692191
XLM-RoBERTa	last	0	0.8860571028201086	0.8674387442572741
